timestamp,device_localId,appName,prevRow
44:07.3,s:3FC95697-9917-4767-93B2-AA2DBE7EBC16,MSPaint,Remix3D
44:07.2,s:1514F873-FBD2-4363-B81D-619064FBA9F7,MSPaint,Remix3D
44:07.2,s:1514F873-FBD2-4363-B81D-619064FBA9F7,MSPaint,Remix3D
44:06.9,s:9D1585D7-10F0-4841-94D4-2C76FF288CA2,MSPaint,Remix3D
44:06.8,s:9D1585D7-10F0-4841-94D4-2C76FF288CA2,MSPaint,Remix3D
44:06.7,s:9D1585D7-10F0-4841-94D4-2C76FF288CA2,MSPaint,Remix3D
44:06.6,s:9D1585D7-10F0-4841-94D4-2C76FF288CA2,MSPaint,Remix3D
44:06.4,s:E54A2162-6797-4790-AC0F-6C6F1E987C9D,MSPaint,Remix3D
44:05.6,s:881DE860-5165-4341-89DA-2B81EBF89EA4,MSPaint,Remix3D
44:05.4,s:E54A2162-6797-4790-AC0F-6C6F1E987C9D,MSPaint,Remix3D
44:04.7,s:38822E0C-BD5F-4E2D-A101-30345EF08C25,MSPaint,Remix3D
44:03.7,s:1514F873-FBD2-4363-B81D-619064FBA9F7,MSPaint,Remix3D
44:03.7,s:1514F873-FBD2-4363-B81D-619064FBA9F7,MSPaint,Remix3D
44:03.1,s:38822E0C-BD5F-4E2D-A101-30345EF08C25,MSPaint,Remix3D
44:02.1,s:9D1585D7-10F0-4841-94D4-2C76FF288CA2,MSPaint,Remix3D
44:00.9,s:9D1585D7-10F0-4841-94D4-2C76FF288CA2,MSPaint,Remix3D
44:00.6,s:38822E0C-BD5F-4E2D-A101-30345EF08C25,MSPaint,Remix3D
44:00.1,s:9D1585D7-10F0-4841-94D4-2C76FF288CA2,MSPaint,Remix3D
43:59.7,s:9D1585D7-10F0-4841-94D4-2C76FF288CA2,MSPaint,Remix3D
43:59.4,s:38822E0C-BD5F-4E2D-A101-30345EF08C25,MSPaint,Remix3D
43:59.2,s:1514F873-FBD2-4363-B81D-619064FBA9F7,MSPaint,Remix3D
43:59.1,s:9D1585D7-10F0-4841-94D4-2C76FF288CA2,MSPaint,Remix3D
43:59.0,s:9D1585D7-10F0-4841-94D4-2C76FF288CA2,MSPaint,Remix3D
43:57.9,s:9D1585D7-10F0-4841-94D4-2C76FF288CA2,MSPaint,Remix3D
43:57.6,s:38822E0C-BD5F-4E2D-A101-30345EF08C25,MSPaint,Remix3D
43:57.6,s:9D1585D7-10F0-4841-94D4-2C76FF288CA2,MSPaint,Remix3D
43:56.6,s:38822E0C-BD5F-4E2D-A101-30345EF08C25,MSPaint,Remix3D
43:56.6,s:38822E0C-BD5F-4E2D-A101-30345EF08C25,MSPaint,Remix3D
43:56.4,s:9D1585D7-10F0-4841-94D4-2C76FF288CA2,MSPaint,Remix3D
43:55.5,s:1514F873-FBD2-4363-B81D-619064FBA9F7,MSPaint,Remix3D
43:54.3,s:9D1585D7-10F0-4841-94D4-2C76FF288CA2,MSPaint,Remix3D
43:54.0,s:1514F873-FBD2-4363-B81D-619064FBA9F7,MSPaint,Remix3D
43:52.1,s:38822E0C-BD5F-4E2D-A101-30345EF08C25,MSPaint,Remix3D
43:52.0,s:38822E0C-BD5F-4E2D-A101-30345EF08C25,MSPaint,Remix3D
43:51.6,s:38822E0C-BD5F-4E2D-A101-30345EF08C25,MSPaint,Remix3D
43:50.7,s:38822E0C-BD5F-4E2D-A101-30345EF08C25,MSPaint,Remix3D
43:50.2,s:38822E0C-BD5F-4E2D-A101-30345EF08C25,MSPaint,Remix3D
43:50.2,s:E02F9F59-858B-44A0-A8B3-499E4AF0C64A,MSPaint,Remix3D
43:50.1,s:38822E0C-BD5F-4E2D-A101-30345EF08C25,MSPaint,Remix3D
43:49.6,s:9E263AA0-97B2-4E4C-A816-CED94FC018D1,MSPaint,Remix3D
43:49.4,s:38822E0C-BD5F-4E2D-A101-30345EF08C25,MSPaint,Remix3D
43:48.6,s:38822E0C-BD5F-4E2D-A101-30345EF08C25,MSPaint,Remix3D
43:47.1,s:1514F873-FBD2-4363-B81D-619064FBA9F7,MSPaint,Remix3D
43:47.0,s:E54A2162-6797-4790-AC0F-6C6F1E987C9D,MSPaint,Remix3D
43:46.1,s:1514F873-FBD2-4363-B81D-619064FBA9F7,MSPaint,Remix3D
43:45.4,s:E02F9F59-858B-44A0-A8B3-499E4AF0C64A,MSPaint,Remix3D
